File; Clique; Time (sec)
brock200_1.clq; 18; 0.034398
brock200_2.clq; 10; 0.020036
brock200_3.clq; 13; 0.032332
brock200_4.clq; 14; 0.035272
brock400_1.clq; 22; 0.122052
brock400_2.clq; 22; 0.115105
brock400_3.clq; 23; 0.114509
brock400_4.clq; 21; 0.113928
C125.9.clq; 30; 0.006435
gen200_p0.9_44.clq; 35; 0.010041
gen200_p0.9_55.clq; 35; 0.011401
hamming8-4.clq; 16; 0.004676
johnson16-2-4.clq; 8; 0.000269
johnson8-2-4.clq; 4; 3e-05
keller4.clq; 11; 0.009472
MANN_a27.clq; 122; 0.005648
MANN_a9.clq; 16; 0.000489
p_hat1000-1.clq; 9; 0.096054
p_hat1000-2.clq; 36; 0.610615
p_hat1500-1.clq; 10; 0.135277
p_hat300-3.clq; 32; 0.070756
p_hat500-3.clq; 40; 0.153092
san1000.clq; 9; 0.027854
sanr200_0.9.clq; 38; 0.022525
sanr400_0.7.clq; 18; 0.095109
